athlete_id,first_name,last_name,gp,gs,minutes,goals,assists,points,shots,sog,gwg,pk_goals,pk_att,yc,rc,gk_ga,gk_gaa,gk_saves,gk_sv_pct,gk_shutouts
fh_9621d00c0fd2,Aubrey,Jackson-Bowen,14,0,203,1,0,2,9,8,0,0,0,,,,,,,
fh_45eb74ace6d9,Mauren,Krauser,16,0,191,0,1,1,6,3,0,0,0,,,,,,,
fh_916a03b54e4f,Sydney,Block,11,0,125,0,0,0,7,4,0,0,0,,,,,,,
fh_0d73dea9cbdb,Kelly,Davis,22,22,1269,0,0,0,0,0,0,0,0,,,11,0.58,40,0.784,
fh_4347afb97af7,Maddie,Fuller,16,0,165,0,0,0,4,3,0,0,0,,,,,,,
fh_f7b3c8c90422,Ava,Getty,10,0,86,0,0,0,2,1,0,0,0,,,,,,,
fh_210276267116,Merfie,Lawson,7,0,30,0,0,0,0,0,0,0,0,,,0,0.0,2,1.0,
fh_8f8ee361a717,Abbey,McIlvain,9,0,90,0,0,0,0,0,0,0,0,,,0,0.0,3,1.0,
fh_a5a3146d4062,Peyton,Miller,8,0,93,0,0,0,0,0,0,0,0,,,,,,,
fh_6cbe200c0554,Mia,Moody,2,0,0,0,0,0,0,0,0,0,0,,,0,0.0,0,0.0,
fh_9dd531d3eef1,Lily,Viscusi,2,0,0,0,0,0,0,0,0,0,0,,,0,0.0,0,0.0,
fh_63078e276b97,Regan,Worley,22,22,1273,0,0,0,2,0,0,0,0,,,,,,,
fh_0d2020af4f22,Julia,Decker,19,19,1015,19,6,44,89,66,2,0,0,,,,,,,
fh_47673bf35c13,Georgia,Costello,19,19,1047,15,9,39,106,60,3,0,0,,,,,,,
fh_fc43697dd5ce,Elliot,Lund,19,18,997,8,7,23,54,32,0,0,0,,,,,,,
fh_beea4035bf63,Jordyn,Pineau,19,19,1063,4,8,16,36,20,0,0,0,,,,,,,
fh_bbcea0b29df1,Bella,Gannon,19,19,1064,5,3,13,13,10,4,2,3,,,,,,,
fh_a039b6e72096,Angelina,Regels,19,19,1055,2,5,9,42,22,1,0,0,,,,,,,
fh_e85b5104051f,Molly,Kearney,19,0,242,2,1,5,22,13,1,0,0,,,,,,,
fh_d0c9feaf044a,Sage,Mauro,10,0,72,2,1,5,6,4,0,0,0,,,,,,,
fh_b6d7a9efbed4,Reese,Interrante,19,0,210,1,2,4,11,7,0,0,0,,,,,,,
fh_61f9058c1783,Adelaide,Baird,19,18,849,1,0,2,17,9,0,0,0,,,,,,,
fh_e01dcf29d611,Natalie,Vaughan,19,19,1003,1,0,2,10,9,0,0,0,,,,,,,
fh_0872ac438bd7,Grace,Bender,7,0,21,0,0,0,0,0,0,0,0,,,,,,,
fh_fe23bf2c182c,Julia,Caron,1,0,0,0,0,0,0,0,0,0,0,,,1,6.13,0,0.0,0
fh_efdb97f214ea,Payton,England,6,0,54,0,0,0,2,0,0,0,0,,,,,,,
fh_67bf8139e422,Julianne,Gilchrist,4,0,4,0,0,0,0,0,0,0,0,,,,,,,
fh_8d6eb84c830f,Ashley,Harvey,19,19,1132,0,0,0,1,1,0,0,0,,,,,,,
fh_343e4e3203aa,Sofia,Irish,10,0,69,0,0,0,5,3,0,0,0,,,,,,,
fh_64495f6cdd2f,Jillian,Lydon,4,0,6,0,0,0,0,0,0,0,0,,,,,,,
fh_5d4e937240a3,Siany,Ortez,19,19,1153,0,0,0,0,0,0,0,0,,,35,1.86,115,0.767,3
fh_fbd62dcc5e85,Sadie,Papamechail,18,0,168,0,0,0,1,1,0,0,0,,,,,,,
fh_52bd22f0216a,Ava,Santa,7,0,66,0,0,0,1,0,0,0,0,,,,,,,
fh_ef686d5cd61f,Grace,Warnick,19,19,1150,0,0,0,0,0,0,0,0,,,,,,,
fh_bc631de59c16,Annie,Shaw,21,21,999,19,4,42,73,54,5,0,0,,,,,,,
fh_200de8513eeb,Maggie,Keys,21,21,1164,10,18,38,103,46,1,0,1,,,,,,,
fh_ac978ae476c2,Shana,Goldsmith,18,18,792,12,5,29,47,36,4,0,0,,,,,,,
fh_c851b6adbd13,Lydia,Bechtel,21,21,1053,5,6,16,35,23,1,0,0,,,,,,,
fh_cf272f5c2d07,Olivia,Dougherty,21,15,652,6,4,16,23,17,0,0,0,,,,,,,
fh_9f17f3020c64,Ava,De Natale,14,6,433,7,2,16,24,16,2,0,0,,,,,,,
fh_506241bfdb61,Kiera,Lamb,20,20,1205,1,7,9,4,4,0,0,0,,,,,,,
fh_dc2d6ae5c886,Olivia,Burdo,20,2,532,3,2,8,13,10,0,0,0,,,,,,,
fh_a5d84e4a1a2b,Gracie,Buchholz,21,21,1178,2,2,6,7,5,0,0,0,,,,,,,
fh_c1e6312d715d,Annie,Coll,21,21,638,3,0,6,20,11,2,1,1,,,,,,,
fh_1340b2319ada,Emily,Gallagher,21,21,1018,1,4,6,11,7,0,0,0,,,,,,,
fh_1117bd351993,Maddie,Slavin,21,0,655,2,0,4,8,4,0,0,0,,,,,,,
fh_e46fef0210e7,Annie,Hohl,18,0,378,1,0,2,2,2,1,0,0,,,,,,,
fh_cb791d3a54e2,Gabi,Horn,21,21,1281,1,0,2,3,2,0,0,0,,,,,,,
fh_8cdf4ad8cd35,Liz,Ferrara,5,0,28,0,1,1,1,1,0,0,0,,,,,,,
fh_7e3ed619d9c5,Maggie,Burkholder,5,0,31,0,0,0,0,0,0,0,0,,,,,,,
fh_c155bf7e761c,Mariselle,Camillone,4,4,241,0,0,0,0,0,0,0,0,,,11,3.25,11,0.5,0
fh_5d1e62c4ea56,Maggie,Cantrell,5,0,39,0,0,0,0,0,0,0,0,,,,,,,
fh_23ef1e097d8d,Anna,Capelli,2,0,104,0,0,0,0,0,0,0,0,,,,,,,
fh_24b7dc49428f,Angela,Cavallaro,11,0,136,0,0,0,2,0,0,0,0,,,,,,,
fh_42bb8e9808a6,Josie,Coffey,4,0,13,0,0,0,0,0,0,0,0,,,,,,,
fh_ead8391d021b,Courtney,Devers,2,0,11,0,0,0,0,0,0,0,0,,,,,,,
fh_6e6a850cf546,Sara,Godleski,1,0,6,0,0,0,0,0,0,0,0,,,,,,,
fh_272d3454ead2,Reilly,House,7,0,58,0,0,0,0,0,0,0,0,,,,,,,
fh_f2a5355f8a54,Abby,Kucera,4,0,35,0,0,0,0,0,0,0,0,,,,,,,
fh_9e66f70ecc3a,Kate,McKillop,10,1,314,0,0,0,6,2,0,0,0,,,,,,,
fh_6766b3f6e5d4,Olivia,Piasecki,1,0,4,0,0,0,0,0,0,0,0,,,,,,,
fh_555a7a10d712,Maia,Lo Sasso,7,0,42,0,0,0,0,0,0,0,0,,,,,,,
fh_fa606ac47a15,Ruby,Sorber,2,0,0,0,0,0,0,0,0,0,0,,,0,0.0,0,0.0,0
fh_beadf4fe3e23,MacLean,Thuermer,18,17,1040,0,0,0,0,0,0,0,0,,,17,0.99,53,0.757,5
fh_49b6768038cd,Angelina,Veve,16,0,337,0,0,0,2,1,0,0,0,,,,,,,
fh_18c42e092819,Catherine,Crane,18,18,964,13,3,29,58,37,3,0,1,,,,,,,
fh_b41dc06b9be2,Shepard,Ramsey,18,18,1074,10,4,24,47,28,2,2,3,,,,,,,
fh_92cf468f4566,Keagan,Southall,18,18,1013,5,4,14,27,19,0,0,0,,,,,,,
fh_4931e20bef22,Caroline,Bridges,15,13,740,4,2,10,22,11,1,0,0,,,,,,,
fh_01ff2b193f6f,Natalie,BeVier,18,18,955,4,0,8,14,12,1,0,0,,,,,,,
fh_b97659265c00,Molly,Haskell,18,18,1074,2,4,8,38,23,0,0,0,,,,,,,
fh_df95375d607c,Abigail,Lee,17,16,895,3,0,6,13,9,1,0,0,,,,,,,
fh_5bfd46ac520e,Mary,Blair Tankard,17,5,406,3,0,6,11,7,0,0,0,,,,,,,
fh_84321517a594,Eva,Stoilovich,16,2,369,2,1,5,13,9,0,0,0,,,,,,,
fh_5d9b43faa66e,Kennedy,Harcourt,18,18,1083,0,1,1,4,3,0,0,0,,,,,,,
fh_077f25a921f6,Patty,Arwine,18,18,1053,0,0,0,2,1,0,0,0,,,,,,,
fh_d4872f7e59c5,Ryleigh,Cabral,5,1,143,0,0,0,0,0,0,0,0,,,3,1.09,2,0.4,1
fh_272dd74c9860,Kylie,Carter,16,15,888,0,0,0,2,0,0,0,0,,,,,,,
fh_b2d2c49e2ef2,Miriam,Hussaini,17,14,828,0,0,0,0,0,0,0,0,,,39,2.59,69,0.639,1
fh_7e361c7c90b3,Hudson,Pugh,5,1,111,0,0,0,0,0,0,0,0,,,,,,,
fh_d8485b85ebf2,Grace,Torrey,6,2,130,0,0,0,3,1,0,0,0,,,,,,,
fh_fcb5537a0ac0,Reagan,Flory,19,18,935,17,5,39,61,38,7,0,0,,,,,,,
fh_eee460e1eea9,Claudia,Lenahan,19,19,1090,9,16,34,78,43,3,0,0,,,,,,,
fh_9add9e37bc4d,Madison,Short,19,19,1163,7,4,18,16,13,1,2,3,,,,,,,
fh_d448dc83fa7f,Camryn,DeLeva,19,19,1163,6,4,16,37,20,2,0,1,,,,,,,
fh_69296edd8864,Ellie,Quinn,19,18,830,6,4,16,38,24,0,0,0,,,,,,,
fh_f633e70d8e0f,Kierney,Weigle,19,18,1020,7,2,16,39,33,1,0,0,,,,,,,
fh_ceeb6d6d66a1,Mallory,Holup,19,19,1124,4,2,10,23,13,0,0,0,,,,,,,
fh_8ffb73f877fd,Mackenzie,Watkins,19,13,824,2,2,6,8,5,0,1,1,,,,,,,
fh_7554925da2f4,Kayleigh,Vodvarka,19,19,1158,2,1,5,24,9,0,0,0,,,,,,,
fh_fd0d9b65baab,Emily,Swartzbaugh,17,0,275,2,0,4,14,7,0,0,0,,,,,,,
fh_1f6987499583,Catherine,Groszkowski,18,6,489,1,1,3,9,5,0,0,0,,,,,,,
fh_48ff149cdff6,Lily,Kyvelos,13,1,248,1,1,3,7,3,0,0,0,,,,,,,
