athlete_id,first_name,last_name,major,previous_school,height_raw,height_in,weight_raw,weight_lbs,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
glf_6bf507c25e9c,Brooke,Arhotakis,,,,,,,golf,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,,Golfer,Fr.,Fr,,,,unknown,,0,https://millersvilleathletics.com/sports/wgolf/roster
glf_19c36fc84d6e,Olivia,Diamond,,,,,,,golf,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,,Golfer,So.,So,"Philadelphia, Pa.",Philadelphia,PA,domestic,Nazareth Academy,1,https://millersvilleathletics.com/sports/wgolf/roster
glf_02f0b6f3a5b9,Erica,Gerner,,,,,,,golf,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,,Golfer,So.,So,"Hamburg, Pa.",Hamburg,PA,domestic,Hamburg,0,https://millersvilleathletics.com/sports/wgolf/roster
glf_222e1896a6b9,Anabelle,McGowan,,,,,,,golf,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,,Golfer,Sr.,Sr,"Woolwich, N.J.",Woolwich,NJ,domestic,Kingsway Regional,0,https://millersvilleathletics.com/sports/wgolf/roster
glf_93abc4c5e728,Lex,Pfeufer,,,,,,,golf,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,,Golfer,Sr.,Sr,"DuBois, Pa.",DuBois,PA,domestic,DuBois,0,https://millersvilleathletics.com/sports/wgolf/roster
glf_17893d6c8b02,Rachel,Schuda,,,,,,,golf,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,,Golfer,So.,So,"Downingtown, Pa.",Downingtown,PA,domestic,Downingtown West,0,https://millersvilleathletics.com/sports/wgolf/roster
glf_ee3e124341d4,Ashden,Stitt,,,,,,,golf,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,,Golfer,Sr.,Sr,"Hollidaysburg, Pa.",Hollidaysburg,PA,domestic,Hollidaysburg Area,0,https://millersvilleathletics.com/sports/wgolf/roster
glf_a91eedc202e2,Sabrina,Swope,,,,,,,golf,2025-26,2026,D2,Women,Pennsylvania State Athletic Conference,Millersville,,Golfer,Jr.,Jr,"Levittown, Pa.",Levittown,PA,domestic,Neshaminy,0,https://millersvilleathletics.com/sports/wgolf/roster
glf_db669026115e,Ashley,Azzaro,,,5-4,64.0,,,golf,2025-26,2026,D2,Women,Conference Carolinas,Converse,"5'4""",Golfer,So.,So,"Greer, S.C.",Greer,SC,domestic,Blue Ridge HS,0,https://govalkyries.com/sports/womens-golf/roster
glf_afce91422527,Lillian,Bowman,,,5-3,63.0,,,golf,2025-26,2026,D2,Women,Conference Carolinas,Converse,"5'3""",Golfer,So.,So,"Hickory, N.C.",Hickory,NC,domestic,Hickory HS,0,https://govalkyries.com/sports/womens-golf/roster
glf_b87bd27d76cf,Madison,Cook,,Middle College at GTCC,5-7,67.0,,,golf,2025-26,2026,D2,Women,Conference Carolinas,Converse,"5'7""",Golfer,Jr.,Jr,"McLeansville, N.C.",McLeansville,NC,domestic,Early/Middle College at GTCC,0,https://govalkyries.com/sports/womens-golf/roster
glf_6203a8761087,Jenna,Kate Hoffman,,,5-4,64.0,,,golf,2025-26,2026,D2,Women,Conference Carolinas,Converse,"5'4""",Golfer,Fr.,Fr,"St. Stephen, S.C.",St. Stephen,SC,domestic,Berkeley High School,0,https://govalkyries.com/sports/womens-golf/roster
glf_ca9a5fff5a9a,Minea,Kosonen,,,5-3,63.0,,,golf,2025-26,2026,D2,Women,Conference Carolinas,Converse,"5'3""",Golfer,Fr.,Fr,"Myrtle Beach, S.C.",Myrtle Beach,SC,domestic,Carolina Forest High School,0,https://govalkyries.com/sports/womens-golf/roster
glf_1eaa0a258bf1,Kali,Lantis,,Windemere Prep,5-5,65.0,,,golf,2025-26,2026,D2,Women,Conference Carolinas,Converse,"5'5""",Golfer,Sr.,Sr,"Spearfish, S.D.",Spearfish,SD,domestic,Windemere Prep,1,https://govalkyries.com/sports/womens-golf/roster
glf_19daaa34a720,Eleanor,Lim,,,5-1,61.0,,,golf,2025-26,2026,D2,Women,Conference Carolinas,Converse,"5'1""",Golfer,Sr.,Sr,"Delaware, Ohio",Delaware,OH,domestic,Dublin Coffman HS,0,https://govalkyries.com/sports/womens-golf/roster
glf_db6636ab8657,Ally,Osting,,,5-9,69.0,,,golf,2025-26,2026,D2,Women,Conference Carolinas,Converse,"5'9""",Golfer,Jr.,Jr,"Lithia, Fla.",Lithia,FL,domestic,Joe E. Newsome HS,0,https://govalkyries.com/sports/womens-golf/roster
glf_906219dc5e14,Katherine,Potts,,,5-6,66.0,,,golf,2025-26,2026,D2,Women,Conference Carolinas,Converse,"5'6""",Golfer,Fr.,Fr,"Chattanooga, Tenn.",Chattanooga,TN,domestic,Girls Preparatory School,1,https://govalkyries.com/sports/womens-golf/roster
glf_aacf11109c5b,Paula,Kay Sanders,,,5-6,66.0,,,golf,2025-26,2026,D2,Women,Conference Carolinas,Converse,"5'6""",Golfer,Fr.,Fr,"Columbia, S.C.",Columbia,SC,domestic,Ridgeview HS,0,https://govalkyries.com/sports/womens-golf/roster
