athlete_id,first_name,last_name,mp,sets,kills,errors,ta,pct,assists,digs,aces,serve_errors,block_solos,block_assists,blocks,recv_errors,points
vb_99712e489528,Megan,Vogel,25,97,67,9,209,0.278,476,89,5,5,3,28,31.0,1,89.0
vb_a5853a4a14ac,Maddie,Robertson,32,126,244,91,619,0.247,4,53,0,0,20,61,81.0,0,294.5
vb_aa5b6bd7a479,Brooklyn,Borden,20,47,3,1,6,0.333,0,31,8,10,0,0,0.0,5,11.0
vb_bf55c6e776db,Brooklyn,York,14,33,25,19,119,0.05,3,21,0,1,2,9,11.0,1,31.5
vb_e7e509278c10,Molly,Welborn,21,59,105,62,393,0.109,2,75,11,4,2,4,6.0,11,120.0
vb_4bcb5d04cd87,Aliyah,Lightsey,26,74,104,94,312,0.032,3,22,0,0,5,19,24.0,5,118.5
vb_ad312b3f7c15,Anisia,Dean,20,58,0,6,25,-0.24,134,60,9,23,0,0,0.0,0,9.0
vb_dabf5707d193,Meredith,Crawley,26,67,3,1,15,0.133,12,83,1,6,0,0,0.0,23,4.0
vb_67312324aa4e,Fin,Bolt,16,31,0,0,3,0.0,6,28,3,4,0,0,0.0,18,3.0
vb_657dd9e87cca,Norah,Madrey,26,85,85,46,283,0.138,17,63,22,15,9,42,51.0,12,137.0
vb_cbc481a33558,Ivy,Collins,25,76,112,82,351,0.085,4,40,8,14,2,29,31.0,3,136.5
vb_d4b40a35fc5a,Brenna,Rea,17,21,11,10,42,0.024,2,8,0,0,0,4,4.0,1,13.0
vb_f833c3c2544b,Gabby,Hedrick,11,15,9,9,45,0.0,1,14,2,2,0,0,0.0,3,11.0
vb_2643b017b623,Alyssa,Reed,21,69,146,91,505,0.109,9,158,35,34,0,10,10.0,38,186.0
vb_508159b08915,Cassidy,Henderson,26,81,142,91,478,0.107,4,75,26,20,0,22,22.0,31,179.0
vb_e04872c0b9bd,Dakota,Webb-Hawkins,9,13,13,8,35,0.143,0,4,0,0,0,2,2.0,0,14.0
vb_600230976455,Rachel,Hull,26,79,21,5,81,0.198,296,118,42,25,0,1,1.0,1,63.5
vb_12ef358a58a0,Sydney,Mitchell,12,21,5,9,27,-0.148,2,2,0,1,1,2,3.0,1,7.0
vb_3b91e18f3d50,Sophia,Maurer,26,87,153,43,433,0.254,56,129,62,32,16,40,56.0,34,251.0
vb_44e373eb43de,Laken,Tingler,7,19,18,11,52,0.135,0,18,2,2,0,1,1.0,4,20.5
vb_d2f80094523b,Breanna,Anduiza,23,47,3,0,14,0.214,157,69,21,8,0,0,0.0,2,24.0
vb_a50f6d1c7c2d,Emma,Scalzitti,24,80,3,7,76,-0.053,242,146,15,17,0,0,0.0,1,18.0
vb_c011ad344b53,Kailey,Burckart,24,77,33,38,243,-0.021,10,31,1,0,1,6,7.0,22,38.0
vb_6158b4b393e8,Lily,Snow,24,79,6,11,78,-0.064,156,122,12,25,0,0,0.0,2,18.0
vb_b5390bba27a3,Eileen,Botha,22,72,46,45,301,0.003,4,93,4,2,0,6,6.0,43,53.0
vb_c92a82185a20,Callie,Pittsenbarger,18,61,0,5,42,-0.119,21,267,12,11,0,0,0.0,50,12.0
vb_e3d2d6be7a77,Tessa,Hinze,20,64,126,75,437,0.117,4,22,3,6,5,6,11.0,0,137.0
vb_21c12e3cee6c,Lilly,Broere,14,41,27,24,124,0.024,2,8,0,0,5,4,9.0,0,34.0
vb_86155d6b87ea,Megan,Anderson,24,76,65,90,350,-0.071,5,30,0,0,0,5,5.0,17,67.5
