athlete_id,first_name,last_name,major,previous_school,height_raw,height_in,weight_raw,weight_lbs,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
wp_50fdf9f6030c,Natalee,Winberg,Biological Science,Troy HS,5-10,70.0,,,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Biola,Goalie,Goalkeeper,Fr.,Fr,"Brea, CA",Brea,CA,domestic,Troy HS,0,https://athletics.biola.edu/sports/womens-water-polo/roster/2026
wp_7570a4a6a453,Marissa,Brock,Liberal Studies Elementary Education,California Baptist,5-7,67.0,,,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Biola,Center,Center,R-So.,So,"Stockton, CA",Stockton,CA,domestic,St. Mary's High School,0,https://athletics.biola.edu/sports/womens-water-polo/roster/2026
wp_d7c3b5e93d0e,Ava,LoBue,Occupational Therapy,Monache HS,5-6,66.0,,,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Biola,Attacker,Attacker,Gr.,Gr,"Porterville, CA",Porterville,CA,domestic,Monache HS,0,https://athletics.biola.edu/sports/womens-water-polo/roster/2026
wp_2eea5e629656,Stephanie,Rodriguez,Psychology,El Segundo HS,5-5,65.0,,,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Biola,Attacker,Attacker,Jr.,Jr,"El Segundo, CA",El Segundo,CA,domestic,El Segundo HS,0,https://athletics.biola.edu/sports/womens-water-polo/roster/2026
wp_e3ecf1f74846,Annabella,Rapp,Public Health,UCLA,5-10,70.0,,,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Biola,Utility,Utility,Jr.,Jr,"Whittier, CA",Whittier,CA,domestic,La Serna High School,0,https://athletics.biola.edu/sports/womens-water-polo/roster/2026
wp_7f64e6c0e988,Ennovi,Dominguez,Undeclared,Saint Joseph HS,5-5,65.0,,,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Biola,Attacker,Attacker,Fr.,Fr,"Bellflower, CA",Bellflower,CA,domestic,Saint Joseph HS,0,https://athletics.biola.edu/sports/womens-water-polo/roster/2026
wp_5a2851447ee0,Kajsa,Brown,Kinesiology,Portland Christian HS,5-8,68.0,,,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Biola,Attacker,Attacker,Fr.,Fr,"Portland, OR",Portland,OR,domestic,Portland Christian,0,https://athletics.biola.edu/sports/womens-water-polo/roster/2026
wp_afe66a1abbab,Myah,Ibarra,Accounting,California HS,5-0,60.0,,,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Biola,Utility,Utility,Jr.,Jr,"Commerce, CA",Commerce,CA,domestic,California HS,0,https://athletics.biola.edu/sports/womens-water-polo/roster/2026
wp_ee9a0d5e4795,Mia,Mulhall,Liberal Studies Elementary Education,Trabuco Hills HS,5-5,65.0,,,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Biola,Utility,Utility,Sr.,Sr,"Mission Viejo, CA",Mission Viejo,CA,domestic,Trabuco Hills HS,0,https://athletics.biola.edu/sports/womens-water-polo/roster/2026
wp_a81615e448cc,Emily,Guedel,History,Mercer Island HS,5-10,70.0,,,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Biola,Center,Center,Sr.,Sr,"Mercer Island, WA",Mercer Island,WA,domestic,Mercer Island HS,0,https://athletics.biola.edu/sports/womens-water-polo/roster/2026
wp_fe10ec2f5469,Destiny,Moreno,Biochemistry,Schurr HS,5-5,65.0,,,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Biola,Utility,Utility,So.,So,"Commerce, CA",Commerce,CA,domestic,Schurr HS,0,https://athletics.biola.edu/sports/womens-water-polo/roster/2026
wp_0f4aeb35f751,Alyah,Ibarra,Art,California HS,5-3,63.0,,,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Biola,Utility,Utility,So.,So,"Commerce, CA",Commerce,CA,domestic,California HS,0,https://athletics.biola.edu/sports/womens-water-polo/roster/2026
wp_93bf36e77a00,Sofia,Lazzarini Orlandi,Kinesiology,West Valley College,5-5,65.0,,,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Biola,Attacker,Attacker,Jr.,Jr,"Jundiaí, Brazil",Jundiaí,,international,Luiz Rosa,0,https://athletics.biola.edu/sports/womens-water-polo/roster/2026
wp_e2755c507664,Berlynn,Mani,Biological Science,Downey HS,5-0,60.0,,,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Biola,Utility,Utility,Fr.,Fr,"Commerce, CA",Commerce,CA,domestic,Downey HS,0,https://athletics.biola.edu/sports/womens-water-polo/roster/2026
wp_35aabf1e8aba,Ava,Gatewood,Psychology,Clairemont HS,4-8,56.0,,,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Biola,Attacker,Attacker,Fr.,Fr,"San Diego, CA",San Diego,CA,domestic,Clairemont HS,0,https://athletics.biola.edu/sports/womens-water-polo/roster/2026
wp_8d51562d4aa2,Savannah,Rapp,Liberal Studies Elementary Education,La Serna HS,5-9,69.0,,,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Biola,Utility,Utility,So.,So,"La Habra, CA",La Habra,CA,domestic,La Serna HS,0,https://athletics.biola.edu/sports/womens-water-polo/roster/2026
wp_a5e3ba488a74,Devon,Coppes,English,Trabuco Hills HS,5-3,63.0,,,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Biola,Attacker,Attacker,Sr.,Sr,"Mission Viejo, CA",Mission Viejo,CA,domestic,Trabuco Hills HS,0,https://athletics.biola.edu/sports/womens-water-polo/roster/2026
wp_e67b2f1b6f49,Gwendolyn,Pidd,Art,Mira Costa HS,5-9,69.0,,,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Biola,Attacker,Attacker,So.,So,"Manhattan Beach, CA",Manhattan Beach,CA,domestic,Mira Costa HS,0,https://athletics.biola.edu/sports/womens-water-polo/roster/2026
wp_5236545980f0,Karly,Lepel,Communication,Cypress College,5-7,67.0,,,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Biola,Utility,Utility,Jr.,Jr,"Huntington Beach, CA",Huntington Beach,CA,domestic,Huntington Beach High School,0,https://athletics.biola.edu/sports/womens-water-polo/roster/2026
wp_705f16b475c9,Alyssa,Cuevas,Liberal Studies Multidisciplinary,York Community HS,5-6,66.0,,,water_polo,2025-26,2025,D2,Women,Pacific West Conference,Biola,Center,Center,So.,So,"Oak Brook, IL",Oak Brook,IL,domestic,York Community HS,0,https://athletics.biola.edu/sports/womens-water-polo/roster/2026
