athlete_id,first_name,last_name,gp,gs,ab,r,h,doubles,triples,hr,rbi,tb,bb,so,sb,sb_att,avg,ip,era,w,l,sv,k,app
bb_f4c4f37f0f74,Trevor,Conley,54,54,188,29,50,9,0,1,26,62,16,28,8,11,0.266,,,,,,,
bb_8c64dd21cc6a,Kyler,Proctor,52,52,198,27,48,12,1,2,30,68,18,51,11,14,0.242,,,,,,,
bb_9fcd77fc48de,Derrick,Mitchell,8,4,14,4,4,0,0,0,2,4,1,4,1,1,0.286,,,,,,,
bb_b8de2861a273,Mason,Pangborn,12,6,19,5,5,1,0,1,4,9,5,7,1,1,0.263,,,,,,,
bb_1792416bb555,Houston,Hebert,23,16,71,11,18,5,0,4,15,35,7,24,0,0,0.254,,,,,,,
bb_fcffa0b1105a,DJ,Merriweather,21,13,30,9,6,0,1,3,10,17,4,9,3,3,0.2,60.0,5.25,4,2,0,67,
bb_ceb1a336c185,Mason,Pickering,9,5,20,4,4,1,0,0,0,5,3,7,0,0,0.2,,,,,,,
bb_d88a03eb19dd,TJ,Costello,17,12,43,4,8,1,0,0,7,9,3,12,1,1,0.186,,,,,,,
bb_2f6909779e5a,Dillon,Adkins,20,6,22,5,4,1,0,0,1,5,0,9,1,2,0.182,0.1,81.0,0,0,0,1,
bb_6e9ae6d9354c,Keaton,Cottam,17,14,53,8,7,0,1,0,4,9,5,15,1,1,0.132,,,,,,,
bb_10124eda1ecf,Cody,Airington,,,,,,,,,,,,,,,,63.1,5.12,4,3,0,47,
bb_61762ca54e05,Kade,Shatwell,,,,,,,,,,,,,,,,27.2,1.63,2,2,0,25,
bb_f7fb0e57fc03,Gavin,Alveti,,,,,,,,,,,,,,,,42.2,3.16,1,2,6,34,
bb_63b014cbf714,Kaleb,Applebey,,,,,,,,,,,,,,,,21.1,3.38,1,0,0,22,
bb_6d6987e9f103,Jackson,Hohensee,,,,,,,,,,,,,,,,24.2,4.01,0,2,3,30,
bb_d060407019a0,Ryker,Walton,,,,,,,,,,,,,,,,43.2,5.36,2,4,0,39,
bb_33406c73ab50,Colin,Carney,,,,,,,,,,,,,,,,23.0,6.26,1,1,0,12,
bb_3aaea410fa85,Bryce,McCain,,,,,,,,,,,,,,,,25.1,7.11,1,2,0,24,
bb_1de8a147feea,Brody,Lanham,,,,,,,,,,,,,,,,24.2,7.66,2,2,1,25,
bb_2aded7d2d9cd,Aaron,Lewis,,,,,,,,,,,,,,,,18.1,8.35,2,1,0,17,
bb_3e41b2720c1a,Chance,Cox,,,,,,,,,,,,,,,,37.1,9.4,0,4,0,28,
bb_466b1edd7b07,Elijah,Underhill,,,,,,,,,,,,,,,,19.1,9.78,1,1,0,16,
bb_dc229ba0a7b3,Jett,Hope,,,,,,,,,,,,,,,,9.0,10.0,3,3,0,6,
bb_6c8f337633a9,Drew,DeLucia,,,,,,,,,,,,,,,,17.0,10.59,0,1,0,10,
bb_e5d09e0ad7ca,Kade,Foulke,,,,,,,,,,,,,,,,6.2,14.85,0,1,0,11,
bb_009e685286b6,Dylan,Kazee,,,,,,,,,,,,,,,,2.2,16.87,0,0,0,4,
bb_0ae3bbab7fb3,Jake,Bell,47,41,161,32,48,10,2,8,28,86,18,32,1,3,0.298,,,,,,,
bb_ba865282743f,Luca,Hoerger,40,23,94,18,27,3,0,3,17,39,3,24,2,2,0.287,,,,,,,
bb_df95bfc7baa5,Cole,Huett,51,45,164,29,46,7,1,4,26,67,22,50,6,7,0.28,,,,,,,
bb_3631e91e427f,Mason,Acton,41,30,101,11,24,5,0,1,15,32,17,28,0,0,0.238,,,,,,,
bb_cf93481955af,Nick,Gnardellis,38,19,69,13,19,1,0,3,9,29,16,24,0,0,0.275,,,,,,,
bb_1c9ff845d9a5,Brayden,Bruner,24,7,26,9,3,1,0,0,1,4,7,15,2,2,0.115,,,,,,,
bb_9dfb91f79135,Nikau,Heeney,,,,,,,,,,,,,,,,31.2,6.25,2,1,0,15,
bb_ea829d37b2ee,Raygan,New,,,,,,,,,,,,,,,,22.1,6.85,0,3,0,16,
bb_50e10336d827,Chase,Carver,,,,,,,,,,,,,,,,50.0,7.38,2,6,0,27,
bb_44f124c81361,Austin,Egan,,,,,,,,,,,,,,,,20.0,8.1,1,1,0,8,
bb_36feff37902c,Owen,Payne,,,,,,,,,,,,,,,,1.2,10.8,0,0,0,1,
bb_7af2b8d2d524,Evan,Hart,,,,,,,,,,,,,,,,35.2,11.1,2,1,0,18,
bb_22b8fe13e06b,Drew,Jennings,,,,,,,,,,,,,,,,27.0,11.33,0,1,0,25,
bb_c1db473d7a84,Karl,Ralamb,,,,,,,,,,,,,,,,30.0,11.4,3,6,0,30,
bb_3deea5a20945,Jaxson,Howard,,,,,,,,,,,,,,,,4.0,22.5,0,0,0,2,
bb_eeba7fa2bf1b,Parker,Gwyn,57,57,218,44,68,14,3,6,33,106,22,42,13,21,0.312,,,,,,,
bb_8b8bd4f0807d,Zeb,Allen,53,53,204,54,63,7,3,17,53,127,23,45,20,23,0.309,,,,,,,
bb_0e3873a566e7,Nate,Negre,52,52,207,38,62,11,3,8,38,103,25,52,10,14,0.3,,,,,,,
bb_b769d3dbb30e,Zane,Denton,44,40,132,24,37,8,1,2,18,53,17,32,3,4,0.28,,,,,,,
bb_5f69c2af2168,Jagger,Schattle,54,43,168,25,45,6,0,9,34,78,27,36,0,0,0.268,,,,,,,
bb_532496301505,Jack,Runsick,57,57,202,38,53,9,2,6,43,84,25,32,7,10,0.262,,,,,,,
