athlete_id,first_name,last_name,gp,gs,ab,r,h,doubles,triples,hr,rbi,tb,bb,so,sb,sb_att,avg,ip,era,w,l,sv,k,app
sb_9ad71a6575cd,Olivia,DeCitise,38,23,25,4,6,2,0,1,4,11,3,6,0,0,0.24,,,,,,,
sb_482a7c312cae,Katelyn,Fitzgerald,19,12,31,4,7,0,0,0,7,7,4,6,0,2,0.226,,,,,,,
sb_1a37f166e9ad,Bergan,Needles,34,20,25,5,5,0,0,0,0,5,1,8,0,1,0.2,,,,,,,
sb_9c3cd5e9a4c0,Alaina,Santoli,37,6,15,13,3,0,0,0,2,3,1,3,1,2,0.2,,,,,,,
sb_7ac9a94ffa07,Taylor,Dolan,26,5,5,9,1,0,0,0,0,1,0,3,0,2,0.2,,,,,,,
sb_c67552c1c68c,Jessika,Jennings,11,0,4,0,0,0,0,0,0,0,1,0,0,0,0.0,,,,,,,
sb_4ad206b23cee,Mackenzie,Griffith,3,0,3,0,0,0,0,0,0,0,0,2,0,0,0.0,,,,,,,
sb_a651e8eb2576,Ava,Perrotta,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,
sb_c583aa158dfc,Ausha,Moore,52,52,141,54,56,9,0,23,58,134,47,14,0,0,0.397,,,,,,,
sb_48414358d29e,Kinzey,Woody,49,49,145,29,52,11,0,14,50,105,37,20,0,0,0.359,,,,,,,
sb_fc6601e59495,Trinity,Allen,49,41,129,34,46,8,1,8,36,80,23,24,3,3,0.357,,,,,,,
sb_c652849404cf,Jodie,Epperson,52,52,168,35,56,14,0,7,25,91,10,14,3,4,0.333,,,,,,,
sb_06ca3d9c4f8e,Kammie,Smith,52,52,177,27,58,10,1,3,24,79,11,13,1,1,0.328,,,,,,,
sb_192ca09df9a8,Gabby,Scott,46,37,118,21,38,3,2,6,28,63,25,15,1,1,0.322,,,,,,,
sb_fa4a5d5c39e0,Johnna,Schroeder,52,52,163,30,51,10,0,5,21,76,14,30,6,8,0.313,,,,,,,
sb_3ba698dbc52d,Mackenzie,Rooney,51,47,120,29,34,3,1,7,24,60,11,14,2,5,0.283,,,,,,,
sb_b6d2ec76f877,Chloe,Rhine,52,52,102,21,16,2,0,5,8,33,28,24,1,1,0.157,,,,,,,
sb_9998ab1423e9,Aeryn,Shuman,20,15,48,9,18,4,0,4,12,34,4,7,0,0,0.375,,,,,,,
sb_b84463a899f9,Morgan,Lloyd,27,0,3,10,1,0,0,0,3,1,0,0,2,2,0.333,,,,,,,
sb_56522a6de234,Brookelyn,Livanec,31,9,45,6,11,0,1,1,8,16,6,11,0,1,0.244,,,,,,,
sb_56f421afd4ea,Catelyn,Beckerley,10,2,11,1,2,0,0,1,2,5,0,4,0,0,0.182,,,,,,,
sb_4297196508c1,Mickayla,Tosch,34,8,39,8,4,1,1,1,7,10,2,6,1,1,0.103,,,,,,,
sb_fc1985342fbd,Skyler,Rodgers,15,0,0,9,0,0,0,0,0,0,0,0,2,2,0.0,,,,,,,
sb_eb619d93e496,Ryley,Nihart,,,,,,,,,,,,,,,,169.0,3.4,16,11,1,97,
sb_212e5c969123,Ava,Sliger,,,,,,,,,,,,,,,,77.2,3.42,9,1,1,25,
sb_05f0a3c48555,Jade,Sanders,,,,,,,,,,,,,,,,68.1,4.1,6,4,1,60,
sb_72674f652378,Gabby,Fakes,,,,,,,,,,,,,,,,21.1,6.89,3,1,0,8,
sb_1f5f293fb5f1,Janelle,Wilson,,,,,,,,,,,,,,,,4.1,9.69,1,0,0,2,
sb_871b97b95e1f,Jenna,Lord,58,58,172,57,72,15,2,13,39,130,32,11,9,9,0.419,,,,,,,
sb_bfdb82ba3204,Olivia,Williams,58,58,190,48,61,12,2,4,29,89,20,23,9,9,0.321,,,,,,,
sb_4c9c10ff2187,Audrey,Wilson,54,53,148,31,46,8,2,11,48,91,24,20,5,6,0.311,,,,,,,
sb_ad9b5025e4b8,Savanna,Nguyen,58,58,141,26,43,5,1,0,22,50,19,31,4,4,0.305,,,,,,,
sb_de345e8e482a,Sydney,Lewis,52,44,94,6,28,2,0,5,25,45,20,3,0,0,0.298,,,,,,,
sb_b9cac56def54,Jaylah,Jarrell,51,46,118,21,35,4,2,5,23,58,10,15,2,4,0.297,,,,,,,
sb_c371fe5b0417,London,Dirks,58,58,159,38,46,9,0,2,21,61,22,16,8,10,0.289,,,,,,,
sb_0c509050b980,Teagan,Ritchie,58,58,179,38,49,2,3,16,44,105,14,38,5,11,0.274,,,,,,,
sb_51d984e9dbd8,Brelyn,O'Hearn,54,50,124,19,33,4,1,4,22,51,25,20,4,4,0.266,,,,,,,
sb_9fb2224eb58b,Carley,Keller,48,10,55,20,17,1,0,0,7,18,4,6,4,4,0.309,,,,,,,
sb_7449384da08a,Reece,Cammarn,17,10,29,5,8,2,0,0,0,10,2,8,0,0,0.276,,,,,,,
sb_d74176876050,Chloe,Aldrich,42,6,34,12,7,2,0,1,4,12,2,6,3,4,0.206,,,,,,,
sb_3e6c67959b07,Melanie,Edwards,15,1,15,0,3,1,0,0,3,4,1,5,0,0,0.2,,,,,,,
sb_62595051fda5,Lilian,Berry,15,0,5,3,1,0,0,0,0,1,0,2,0,0,0.2,,,,,,,
sb_2875924ed45c,Emma,Shoemaker,16,12,29,1,2,2,0,0,1,4,2,5,1,1,0.069,,,,,,,
sb_b1aebc3b8f9f,Emma,Tisdale,9,0,5,0,0,0,0,0,0,0,3,3,0,0,0.0,,,,,,,
sb_b7fc57c076b4,Jesiana,Mora,49,48,145,41,56,12,0,8,41,92,26,4,11,12,0.386,,,,,,,
sb_fc0b393c5685,Kylie,Hammonds,54,54,161,51,60,9,1,9,26,98,28,20,11,14,0.373,,,,,,,
sb_be28d157533f,Bella,Foran,48,47,117,40,40,0,2,0,9,44,18,3,5,5,0.342,,,,,,,
sb_1c7608dd9217,Lily,Holtje,51,48,129,22,43,12,0,6,33,73,29,26,4,4,0.333,,,,,,,
sb_b672dd08db5f,Yani,Guzman,49,36,106,15,32,7,0,3,30,48,12,11,5,5,0.302,,,,,,,
sb_a762a8f5ab67,Kiley,Shelton,46,22,80,10,20,7,0,0,10,27,6,14,1,2,0.25,,,,,,,
sb_ee7cdb438bbe,Chloe,Yeatts,54,48,125,17,31,4,0,7,35,56,16,20,1,1,0.248,,,,,,,
sb_8607f9f9e5c0,McKenna,Mulholland,48,36,93,26,22,6,1,4,21,42,15,21,2,3,0.237,,,,,,,
sb_ad768fede1dc,Destiny,Johns,48,37,111,14,25,6,1,0,15,33,13,12,0,1,0.225,,,,,,,
sb_17fba126c63e,Ciara,Gibson,37,27,76,14,22,4,0,7,23,47,9,12,0,1,0.289,,,,,,,
sb_3b1a03adba29,Madison,Inscoe,38,19,53,4,15,3,0,1,11,21,6,7,1,1,0.283,,,,,,,
sb_60958abecf16,Karson,Davey,36,13,57,7,16,2,1,1,15,23,6,2,2,2,0.281,,,,,,,
sb_78226cc3fc42,Lily,Lowery,46,10,36,21,8,0,0,0,2,8,0,3,4,5,0.222,,,,,,,
sb_887339c6a829,Hannah,Rivers,40,27,49,15,10,1,0,0,4,11,7,11,2,2,0.204,,,,,,,
sb_c53698477d1d,Cameryn,Orland,33,14,41,7,8,2,0,0,0,10,4,7,3,3,0.195,,,,,,,
sb_3c4d5c2e6f88,Sophia,Camacho,29,4,6,3,0,0,0,0,0,0,1,3,0,0,0.0,,,,,,,
sb_e25aeefd6e43,Sara,Harris,9,0,4,0,0,0,0,0,0,0,1,2,0,0,0.0,,,,,,,
sb_7b225a17f834,Ava,Difato,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,
sb_2deedbb90ec2,Reese,Knox,50,49,118,33,37,5,1,0,10,44,45,21,17,19,0.314,,,,,,,
sb_d16d81e2f853,Jada,McLeod,44,37,102,24,31,9,0,2,23,46,15,15,1,1,0.304,,,,,,,
sb_5ef5a3cacbd2,Makayla,Mathis,50,49,124,21,35,6,0,0,12,41,24,12,5,6,0.282,,,,,,,
sb_ab0d682aba56,Jordan,Smith,53,53,136,15,33,3,1,1,17,41,12,18,3,4,0.243,,,,,,,
sb_cb3c2ec73b29,Sharyn,Duncan,27,16,51,8,15,3,0,1,13,21,2,4,0,0,0.294,,,,,,,
sb_15768e1bb31b,Jocelyn,Owen,28,19,54,3,13,1,0,1,8,17,8,3,0,0,0.241,,,,,,,
sb_7479bb046bd3,Skyler,Billips,30,30,80,7,18,2,0,2,9,26,5,12,1,1,0.225,,,,,,,
sb_e6ead4a65ad3,Emily,Mariscal,31,26,60,9,13,3,1,0,7,18,8,9,1,1,0.217,,,,,,,
sb_8893e55c3ee7,Claire,Schreiner,34,27,81,7,15,4,0,0,10,19,7,15,1,1,0.185,,,,,,,
sb_09e2610616bb,Riley,Oleksik,33,10,29,7,2,2,0,0,6,4,1,3,1,1,0.069,,,,,,,
sb_ccf7db3d41d4,Ava,Hazzard,4,0,4,1,0,0,0,0,0,0,1,1,0,0,0.0,,,,,,,
sb_288af95cd005,Victoria,Byrum,,,,,,,,,,,,,,,,135.2,3.35,10,13,1,115,
sb_0da387e17880,Bayle,Hunnicutt,,,,,,,,,,,,,,,,120.1,3.78,8,8,0,111,
sb_4bac74b00ef0,Tayteum,Vigansky,,,,,,,,,,,,,,,,81.1,4.65,9,3,3,40,
sb_2e912e042345,Ashlyn,Shirah,54,54,169,34,60,7,0,10,46,97,15,13,7,8,0.355,,,,,,,
sb_6dec43dd7792,Hannah,Dorsett,54,54,180,26,58,5,1,0,15,65,9,12,7,11,0.322,,,,,,,
sb_70de5aa34d7d,Jaycee,Holt,52,48,110,19,28,2,0,0,3,30,11,15,0,0,0.255,,,,,,,
sb_44b7d1dc93a8,Charlee,Bennett,54,53,132,27,32,7,2,2,18,49,34,29,0,1,0.242,,,,,,,
sb_16fa668146f8,Madeline,Flammia,54,54,132,19,31,5,1,0,20,38,26,24,0,0,0.235,,,,,,,
sb_e2b3c835d41a,Carlie,Wilkins,46,43,121,13,27,4,0,5,20,46,10,17,0,0,0.223,,,,,,,
sb_0d8de7c80020,Allyson,Smith,3,0,3,0,2,0,0,0,2,2,0,0,0,0,0.667,,,,,,,
sb_928183db86f9,Zaylen,Tucker,23,4,17,3,6,0,0,0,1,6,2,6,0,0,0.353,,,,,,,
sb_823fe43d9d09,Abbi,Perkins,25,25,63,11,19,5,0,1,11,27,18,13,0,0,0.302,,,,,,,
sb_a5918955bfbb,Olivia,Tindell,28,15,59,12,17,3,0,2,6,26,2,10,0,0,0.288,,,,,,,
sb_402cc0cdba92,Bria,Allen,19,6,30,0,8,0,0,0,4,8,1,6,0,0,0.267,,,,,,,
sb_71445dd3af04,Hannah,Miles,40,40,106,19,27,1,2,0,7,32,7,10,2,3,0.255,,,,,,,
sb_0994c50d00df,Ansley,Eason,6,1,4,1,1,0,0,0,0,1,0,0,0,0,0.25,,,,,,,
sb_dc5e6f370a6a,Antonia,Henderson,35,31,90,8,22,4,0,4,16,38,7,16,0,0,0.244,,,,,,,
sb_114e57347851,Kaily,Collett,33,26,74,9,15,1,0,1,10,19,5,16,0,0,0.203,,,,,,,
sb_5fe3947b9940,Hope,Tucker,37,28,82,13,15,2,0,0,6,17,6,7,1,1,0.183,,,,,,,
sb_efea9ae20db0,AJ,Kramer,9,4,17,2,2,0,0,2,4,8,1,6,0,0,0.118,,,,,,,
sb_81ba241864de,Brantlee,Wortham,7,1,5,1,0,0,0,0,0,0,1,0,0,0,0.0,,,,,,,
sb_6ca48bb74bf8,Ariel,Davis,57,55,153,37,60,12,2,7,26,97,22,14,8,11,0.392,,,,,,,
sb_867ddb67ae45,Faith,Brown,53,48,141,29,51,10,2,9,43,92,7,26,5,5,0.362,,,,,,,
sb_7d01d3636776,Paris,Brienesse,54,47,110,26,36,2,1,0,4,40,10,25,17,19,0.327,,,,,,,
sb_a7fad6955b57,Neely,Taylor,52,44,133,22,41,13,1,1,13,59,15,27,1,1,0.308,,,,,,,
sb_1d0b9f8125a4,Jasmine,Mack,52,38,112,23,32,6,3,6,26,62,5,23,5,6,0.286,,,,,,,
sb_b35972d06b52,Deana,Cunningham,56,56,135,24,37,5,3,3,26,57,17,16,7,7,0.274,,,,,,,
sb_a6937b3bca2d,Taylor,Caton,43,35,80,14,20,3,1,5,14,40,6,16,5,6,0.25,,,,,,,
sb_dd4b139f676f,Kennedy,Semien,54,48,122,13,28,4,2,1,15,39,18,15,5,6,0.23,,,,,,,
sb_e7211564ddd0,Aubrey,Williams,18,16,36,8,10,1,0,2,9,17,1,3,1,1,0.278,,,,,,,
sb_fa5dfbf0dea9,Isabella,Hune,42,20,47,10,13,2,0,0,4,15,10,11,6,7,0.277,,,,,,,
sb_9f84962126b4,Mya,Clark,35,26,66,10,17,2,1,3,11,30,9,15,0,1,0.258,,,,,,,
sb_806e6cf9d4e0,Kayla,Clement,36,20,51,9,13,2,0,0,2,15,7,9,3,5,0.255,,,,,,,
sb_a9b424429f17,Taniyah,Brown,17,11,24,2,6,1,0,1,3,10,2,5,0,0,0.25,,,,,,,
sb_fcfcafbef58c,Brylee,Butts,23,3,22,3,5,2,1,0,3,9,3,7,0,1,0.227,,,,,,,
sb_abc8f34d1003,Zereniti,Sousa,37,25,64,6,14,1,0,2,15,21,15,10,0,1,0.219,,,,,,,
sb_4724835ad7e4,Jaila,Mitchell,29,14,30,5,6,0,0,0,2,6,3,4,0,0,0.2,,,,,,,
sb_f18a3530fb90,Khamiyah,Brown,4,1,5,1,1,0,0,1,1,4,0,2,0,0,0.2,,,,,,,
sb_b6a73dcbd21c,Kylie,Waldrep,44,16,54,8,7,1,0,1,5,11,8,7,5,5,0.13,,,,,,,
sb_16983ca8fc99,Marley,Maness,18,2,15,0,0,0,0,0,0,0,3,3,0,0,0.0,,,,,,,
sb_7b8506b11dcf,Jericho,Tate,8,4,2,0,0,0,0,0,0,0,0,1,0,0,0.0,,,,,,,
sb_ad7b39214642,Avery,Stutts,11,3,0,1,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,
sb_541a626f371b,Sarah,Beth Brake,52,52,148,27,59,14,1,13,55,114,24,19,0,0,0.399,,,,,,,
sb_3dff57e42880,Jaida,Thomas,55,55,169,51,60,10,7,4,31,96,26,15,14,18,0.355,,,,,,,
sb_ea0044933fb2,Kate,Linkletter,52,49,124,34,39,6,0,4,19,57,19,23,6,10,0.315,,,,,,,
sb_d338930ebdf7,Alison,Carter,53,45,138,25,43,13,0,4,42,68,15,14,2,2,0.312,,,,,,,
sb_9a6704d16c34,Emma,Mansfield,54,54,157,27,47,7,0,0,18,54,10,17,11,13,0.299,,,,,,,
sb_e307f389698f,Lindsey,Chadwick,47,43,119,17,31,9,0,11,26,73,24,28,2,2,0.261,,,,,,,
sb_c04dc1654839,Reese,Wells,49,40,114,19,29,1,0,0,8,30,6,13,0,1,0.254,81.2,4.54,7,7,1,33,
sb_85ea861e7b92,Tatum,McCool,45,38,102,13,25,6,0,2,18,37,16,25,0,0,0.245,,,,,,,
sb_734b3c7ba2fe,Vic,Brunette,55,53,138,20,31,4,2,2,21,45,13,20,6,8,0.225,,,,,,,
sb_269bb45575f4,Maci,Burkhart,21,12,34,1,8,2,0,0,4,10,7,8,1,1,0.235,0.0,0.0,0,0,0,0,
sb_b58d63d03a70,Madisyn,Weathers,38,28,87,3,19,4,0,1,12,26,6,16,0,0,0.218,,,,,,,
sb_547806a0501d,Jacy,Harrelson,36,32,22,0,4,0,0,0,2,4,1,5,0,0,0.182,188.0,2.46,22,8,2,127,
sb_cea391e18f61,Kiersten,Stevens,28,20,24,10,4,0,0,0,1,4,10,0,4,4,0.167,,,,,,,
sb_39f8add1b503,Elizabeth,Harley,33,5,16,13,2,0,0,0,1,2,2,5,5,5,0.125,,,,,,,
sb_0402c5aaef24,Alayna,Gaddy,32,2,16,8,2,1,0,1,3,6,1,7,1,2,0.125,,,,,,,
sb_53665e628971,Courtney,Lewis,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0.0,,,,,,,
sb_7eece1ad4317,KK,Hagan,10,1,2,3,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,
sb_cb99aa92107f,Margaret,Jenkins,32,8,0,4,0,0,0,0,0,0,0,0,0,1,0.0,29.0,4.34,0,0,2,12,
sb_7c19e8b5c0bc,Jordan,White,,,,,,,,,,,,,,,,45.2,4.75,4,4,0,28,
sb_b1b51b5a93cf,Karson,Johnson,,,,,,,,,,,,,,,,13.0,9.69,1,0,0,7,
sb_81d922a9fcaf,Delcie,Swift,,,,,,,,,,,,,,,,8.1,12.6,0,1,0,0,
sb_c1ef894230dc,Addie,Graham,57,57,182,54,68,14,4,5,42,105,31,18,16,17,0.374,,,,,,,
sb_97b468332b81,Trinity,Brandon,57,57,185,49,68,15,0,10,51,113,28,16,6,7,0.368,,,,,,,
sb_1c00048514d7,Renee,Christian,56,44,147,48,50,8,5,0,19,68,24,15,28,31,0.34,,,,,,,
sb_2fe49b209d44,Kaitlyn,Graham,57,57,160,21,53,18,0,3,38,80,37,15,4,5,0.331,,,,,,,
sb_b992043d4f9e,Emma,Robertson,57,57,156,23,51,9,0,14,65,102,42,28,1,1,0.327,,,,,,,
sb_adb504f9db28,LJ,Smith,57,57,167,29,47,5,5,1,24,65,16,23,2,2,0.281,,,,,,,
sb_14bbb90cab02,Grace,Molitor,52,52,127,23,34,6,2,4,31,56,11,29,8,10,0.268,,,,,,,
sb_b597dcdae9cd,Autumn,Vessier,50,46,92,25,22,4,1,0,15,28,26,27,7,7,0.239,,,,,,,
sb_835e404265da,Lilly,Hood,55,53,135,27,31,10,1,3,23,52,23,30,3,3,0.23,,,,,,,
sb_bbb0fd09eaf4,Jade,Carnahan,14,0,2,2,1,0,0,0,0,1,0,0,2,2,0.5,,,,,,,
sb_247bc6c5c4b8,Gracie,St. Hilaire,40,27,69,9,19,4,0,0,3,23,16,4,1,1,0.275,,,,,,,
sb_4d374363eb60,Emma,Veach,17,6,18,3,2,0,0,0,2,2,6,5,2,2,0.111,,,,,,,
sb_90166c6de5a5,Audrey,Blair,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0.0,,,,,,,
sb_c0c29e94c340,Mikaela,Mortimer,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,
sb_49b4289e4db6,Malia,Robertson,7,0,1,2,0,0,0,0,0,0,0,1,0,0,0.0,,,,,,,
sb_20698750928a,Sydney,Kildow,42,0,0,22,0,0,0,0,0,0,0,0,1,1,0.0,,,,,,,
sb_69ea3924e40e,Bailie,Runner,,,,,,,,,,,,,,,,136.1,3.49,15,8,0,61,
sb_3bd9207a81b3,Emory,Bowlin,,,,,,,,,,,,,,,,83.1,3.86,8,6,0,29,
sb_c1b906f136ea,Jaleigh,White,,,,,,,,,,,,,,,,47.1,3.11,6,1,0,27,
sb_403e56569323,Lucy,Crowder,,,,,,,,,,,,,,,,53.2,4.17,4,2,0,20,
sb_c4282b0be7ac,Sarah,Currie,,,,,,,,,,,,,,,,38.0,6.82,3,3,0,24,
sb_a6403c421468,Briley,Dover,52,52,159,55,61,10,0,12,47,107,18,9,18,22,0.384,,,,,,,
sb_78d4304464ba,Holly,Merritt,52,52,157,37,56,8,0,15,53,109,12,30,0,0,0.357,,,,,,,
sb_6261196cad0f,Laura,Leigh Wheeler,52,52,157,25,55,10,0,6,37,83,18,17,2,3,0.35,,,,,,,
sb_51943a9d2f7f,Gyvan,Hammons,52,52,169,47,57,5,4,1,14,73,16,21,21,22,0.337,,,,,,,
sb_205092a60f33,Bayleigh,Rouse,48,48,146,32,46,5,0,14,43,93,21,21,2,3,0.315,,,,,,,
sb_636a554b99f6,Natalie,Shaw,47,47,97,12,27,5,1,1,14,37,30,11,1,1,0.278,,,,,,,
sb_5bcb613fdc71,Emma,Kate Wright,49,49,136,23,33,9,2,5,23,61,7,13,2,2,0.243,,,,,,,
sb_0160d059b2f8,Maggie,Olsen,1,0,1,0,1,0,0,0,2,1,0,0,0,0,1.0,,,,,,,
sb_fb35272ddfab,Anna,Kate Potter,3,0,3,1,2,1,0,0,1,3,1,0,0,0,0.667,,,,,,,
sb_30d0b914adee,Jenna,Madison,28,26,74,10,23,5,0,2,12,34,6,7,1,1,0.311,,,,,,,
sb_ad189e74be60,Kylei,Russell,27,6,23,5,7,1,0,0,4,8,1,3,2,2,0.304,,,,,,,
sb_b9e79999877c,Jorja,Roberson,19,12,37,4,11,2,1,1,7,18,6,8,0,0,0.297,,,,,,,
sb_63ba0c2ace54,Karley,Moreland,31,28,79,15,19,2,0,6,14,39,8,11,0,1,0.241,,,,,,,
sb_f12c2d7a35bc,Livy,Huter,29,24,72,11,17,4,0,0,10,21,4,2,1,1,0.236,,,,,,,
sb_d6f10107ed18,Hailey,Minchew,17,10,39,4,9,1,1,0,6,12,0,12,1,1,0.231,,,,,,,
sb_2fbfdf68b347,Emily,Matthews,9,5,14,0,2,1,1,0,0,5,2,0,0,0,0.143,,,,,,,
sb_d7c3769380b0,Katie,Davis,39,1,6,22,0,0,0,0,0,0,2,2,9,11,0.0,,,,,,,
sb_49337cf6d604,Katie,Simon,14,9,1,0,0,0,0,0,0,0,0,0,0,0,0.0,114.0,2.76,12,5,0,74,
sb_141e41556511,Claire,Wright,25,0,0,12,0,0,0,0,0,0,0,0,0,1,0.0,,,,,,,
sb_84ba2ff1d339,Alivia,Wilken,,,,,,,,,,,,,,,,118.1,2.9,13,6,3,67,
sb_103f7e32d656,Rylee,Tittle,,,,,,,,,,,,,,,,56.1,3.36,5,2,1,33,
sb_0b51d8ba91d1,Emily,Simon,,,,,,,,,,,,,,,,15.2,1.79,1,1,1,4,
sb_a3df061f92dd,Kaylee,Snyder,,,,,,,,,,,,,,,,31.0,6.1,5,2,1,20,
sb_89022969caa9,Olivia,Black,54,54,158,24,51,4,3,0,23,61,12,19,19,20,0.323,,,,,,,
sb_16a941eae50f,Parris,Wiggs,44,43,122,21,37,5,2,0,18,46,17,15,2,2,0.303,,,,,,,
sb_07743dcbc6d0,K'Mari,Williams,45,24,87,8,26,3,0,1,11,32,6,8,10,13,0.299,,,,,,,
sb_3555b89d72ef,Mackenzie,Leiti,53,41,129,19,36,8,0,7,33,65,15,24,0,0,0.279,,,,,,,
sb_93454786bd8a,Sietske,Drijvers,54,54,155,30,43,9,1,2,23,60,23,23,7,7,0.277,,,,,,,
