sport,gender,division,official_name,matched_school
track_outdoor,Women,D2,Point Loma Nazarene University,Point Loma Nazarene University
track_outdoor,Women,D1,Presbyterian College,Presbyterian
track_outdoor,Women,D2,"University of Puerto Rico, Mayaguez",
track_outdoor,Women,D2,"University of Puerto Rico, Rio Piedras",
track_outdoor,Women,D2,Saginaw Valley State University,Saginaw Valley State
track_outdoor,Women,D1,Sam Houston State University,Sam Houston
track_outdoor,Women,D2,Seattle Pacific University,Seattle Pacific
track_outdoor,Women,D2,Seton Hill University,Seton Hill
track_outdoor,Women,D2,Shaw University,Shaw
track_outdoor,Women,D2,Shorter University,Shorter
track_outdoor,Women,D2,Saint Michael's College,Saint Michaels
track_outdoor,Women,D2,St. Thomas Aquinas College,St Thomas Aquinas
track_outdoor,Women,D2,Tusculum University,Tusculum
track_outdoor,Women,D2,Virginia State University,Virginia State
track_outdoor,Women,D3,Webster University,Webster
track_outdoor,Women,D3,Wentworth Institute of Technology,Wentworth
track_outdoor,Women,D3,Whittier College,Whittier
track_outdoor,Women,D2,Wilmington University (Delaware),Wilmington DE
track_outdoor,Women,D3,University of Wisconsin-Eau Claire,UW-Eau Claire
triathlon,Women,D3,Greensboro College,Greensboro
triathlon,Women,D3,Guilford College,Guilford
triathlon,Women,D2,University of Indianapolis,
triathlon,Women,D2,Kentucky State University,Kentucky State
volleyball,Women,D1,"University of Arkansas, Fayetteville",Arkansas
volleyball,Women,D2,Carson-Newman University,Carson-Newman
volleyball,Women,D2,Fort Valley State University,Fort Valley State
volleyball,Women,D1,Georgia Institute of Technology,Georgia Tech
volleyball,Women,D2,University of Indianapolis,
volleyball,Women,D1,Louisiana State University,LSU
volleyball,Women,D2,Northeastern State University,Northeastern State
volleyball,Women,D2,"University of Puerto Rico, Bayamon",
volleyball,Women,D2,"University of Puerto Rico, Mayaguez",
volleyball,Women,D2,"University of Puerto Rico, Rio Piedras",
volleyball,Women,D3,Trinity Washington University,
volleyball,Women,D1,Vanderbilt University,Vanderbilt
volleyball,Women,D2,Virginia Union University,Virginia Union
volleyball,Women,D1,University of West Georgia,West Ga.
volleyball,Men,D3,Alvernia University,Alvernia
volleyball,Men,D3,Centenary University (New Jersey),Centenary NJ
volleyball,Men,D2,Edward Waters University,Edward Waters
volleyball,Men,D2,Fort Valley State University,Fort Valley State
volleyball,Men,D3,Franciscan University of Steubenville,Franciscan
volleyball,Men,D2,University of Jamestown,Jamestown
volleyball,Men,D3,Juniata College,Juniata
volleyball,Men,D3,Lake Forest College,Lake Forest
volleyball,Men,D3,Lycoming College,Lycoming College
volleyball,Men,D1,University of Maryland Eastern Shore,UMES
volleyball,Men,D2,Mercy University,Mercy
volleyball,Men,D3,Mount St. Joseph University,Mount St Joseph
volleyball,Men,D3,Notre Dame of Maryland University,Notre Dame of Maryland
volleyball,Men,D1,University of the Pacific,Pacific
volleyball,Men,D2,"University of Puerto Rico, Bayamon",
volleyball,Men,D2,"University of Puerto Rico, Mayaguez",
volleyball,Men,D2,"University of Puerto Rico, Rio Piedras",
volleyball,Men,D3,Regent University,Regent
volleyball,Men,D3,Regis College (Massachusetts),Regis College
volleyball,Men,D3,Rhode Island College,Rhode Island College
volleyball,Men,D3,University of Scranton,Scranton
volleyball,Men,D3,Vermont State University-Johnson,Vermont State Johnson
volleyball,Men,D3,Warren Wilson College,Warren Wilson
volleyball,Men,D3,Washington and Jefferson College,Washington and Jefferson
volleyball,Men,D3,William Peace University,William Peace
water_polo,Men,D3,Austin College,Austin College
water_polo,Men,D3,"Pennsylvania State Univ. Erie, the Behrend College",Penn State Behrend
water_polo,Men,D1,Wagner College,Wagner
water_polo,Women,D3,Austin College,Austin College
water_polo,Women,D2,Concordia University Irvine,Concordia Irvine
water_polo,Women,D3,"Pennsylvania State Univ. Erie, the Behrend College",Penn State Behrend
wrestling,Men,D2,University of Indianapolis,
wrestling,Men,D3,Pacific University (Oregon),Pacific University (Oregon)
wrestling,Men,D3,"Penn State University, Altoona",Penn State Altoona
wrestling,Women,D3,Pacific University (Oregon),Pacific University (Oregon)
wrestling,Women,D3,"Penn State University, Altoona",Penn State Altoona
wrestling,Women,D2,Simon Fraser University,Simon Fraser
wrestling,Women,D2,Western Colorado University,Western Colorado
wrestling,Women,D3,Westminster College (Missouri),Westminster Missouri
