athlete_id,first_name,last_name,gp,gs,goals,assists,points,shots,sog,gwg,gb,to,ct,dc,fow,fo_att,minutes,gk_ga,gk_gaa,gk_saves,gk_sv_pct
lax_e9ef7f1a1ddf,Hayden,Sofield,15,14,1,1,2,4,1,0,21,10,12,,0,0,,,,,
lax_ba5142a7a85b,Danny,Holt,15,15,0,2,2,1,1,0,114,13,2,,188,313,,,,,
lax_b2d8d2cd8737,Dan,Bader,15,15,1,0,1,3,1,0,50,10,20,,0,0,,,,,
lax_e82cffe95cc1,Conor,Campion,2,0,1,0,1,6,4,0,3,1,1,,0,0,,,,,
lax_567b54f3a07d,Ian,Coulter,7,0,1,0,1,9,4,0,2,1,1,,0,0,,,,,
lax_840ea15d4c0b,Landon,Silverstein,11,0,1,0,1,3,2,0,16,2,0,,27,59,,,,,
lax_eff5e321d66a,Bennett,Atkins,3,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,
lax_7ff935613694,Cade,Chezum,2,0,0,0,0,0,0,0,2,0,0,,4,6,,,,,
lax_17a1bcd67b69,Lou,Chicatelli,8,0,0,0,0,0,0,0,2,1,1,,0,0,,,,,
lax_a08ad2f70957,Kyriakos,Ciccone,10,5,0,0,0,2,0,0,14,3,5,,0,0,,,,,
lax_e184de6d20b4,Kai,Cohagan,6,0,0,0,0,1,1,0,7,1,5,,0,0,,,,,
lax_9ccb0d9bb178,Matteo,Conway,3,0,0,0,0,0,0,0,1,0,1,,0,0,,0,0.0,1,1.0
