athlete_id,sport,athletic_year,season,division,gender,conference,school,position_raw,position_group,class_year_raw,class_standing,hometown_raw,hometown_city,hometown_state,origin,high_school,high_school_is_academy,source_url
at_22a28fb9949a,acro_tumbling,2025-26,2026,D3,Women,Independent,Buffalo State,Top,Top,So.,So,"Buffalo, NY",Buffalo,NY,domestic,Maryvale,0,https://buffalostateathletics.com/sports/acrobatics-tumbling/roster/2026
at_dfa88e0e2db6,acro_tumbling,2025-26,2026,D3,Women,Independent,Buffalo State,Utility,Other,Jr.,Jr,"Guilderland, NY",Guilderland,NY,domestic,Guilderland,0,https://buffalostateathletics.com/sports/acrobatics-tumbling/roster/2026
at_a455f7569618,acro_tumbling,2025-26,2026,D3,Women,Independent,Buffalo State,Top,Top,Sr.,Sr,"Tonawanda, NY",Tonawanda,NY,domestic,Newfane,0,https://buffalostateathletics.com/sports/acrobatics-tumbling/roster/2026
at_89e8e392b032,acro_tumbling,2025-26,2026,D3,Women,Independent,Buffalo State,Tumbler,Tumbler,Fr.,Fr,"Elma, NY",Elma,NY,domestic,Iroquois,0,https://buffalostateathletics.com/sports/acrobatics-tumbling/roster/2026
at_ec305a6259ed,acro_tumbling,2025-26,2026,D3,Women,Independent,Buffalo State,Top,Top,Fr.,Fr,"Buffalo, NY",Buffalo,NY,domestic,West Seneca East,0,https://buffalostateathletics.com/sports/acrobatics-tumbling/roster/2026
at_c24ea4a4a2c6,acro_tumbling,2025-26,2026,D3,Women,Independent,Buffalo State,Tumbler/Base/Mid,Multi,Jr.,Jr,"Fairfield, CA",Fairfield,CA,domestic,St. Patrick-St. Vincent,0,https://buffalostateathletics.com/sports/acrobatics-tumbling/roster/2026
at_35fbf7325934,acro_tumbling,2025-26,2026,D3,Women,Independent,Buffalo State,Base/Flyer,Multi,Fr.,Fr,"Kenmore, NY",Kenmore,NY,domestic,Health Sciences,0,https://buffalostateathletics.com/sports/acrobatics-tumbling/roster/2026
at_32d0cdae505d,acro_tumbling,2025-26,2026,D3,Women,Independent,Buffalo State,Tumbler/Top,Multi,Sr.,Sr,"Grand Island, NY",Grand Island,NY,domestic,Grand Island,0,https://buffalostateathletics.com/sports/acrobatics-tumbling/roster/2026
at_007faf3fed55,acro_tumbling,2025-26,2026,D3,Women,Independent,Buffalo State,Base/Tumbler,Multi,So.,So,"Lancaster, NY",Lancaster,NY,domestic,Lancaster,0,https://buffalostateathletics.com/sports/acrobatics-tumbling/roster/2026
at_e8a0783a5937,acro_tumbling,2025-26,2026,D3,Women,Independent,Buffalo State,Base/Tumbler,Multi,Jr.,Jr,"Cheektowaga, NY",Cheektowaga,NY,domestic,Depew,0,https://buffalostateathletics.com/sports/acrobatics-tumbling/roster/2026
