athlete_id,first_name,last_name,gp,gs,minutes,goals,assists,points,shots,sog,gwg,pk_goals,pk_att,yc,rc,gk_ga,gk_gaa,gk_saves,gk_sv_pct,gk_shutouts
soc_7ce77ebda3c3,Kelly,Lyons,16,8,714,1,1,3,12,5,1,0,0,0,0,,,,,
soc_f3fd02954734,Paige,Snell,19,19,1314,1,1,3,15,11,1,0,0,0,0,,,,,
soc_2e14cc855e02,Heather,Abzug,9,0,166,1,0,2,1,1,0,0,0,0,0,,,,,
soc_18a40fcd7f4b,Megan,Burkholder,13,1,347,1,0,2,7,3,0,0,0,0,0,,,,,
soc_0d65ce1d0721,Bridget,Hitchner,16,2,416,1,0,2,12,4,0,0,0,0,0,,,,,
soc_82bd5afc0635,Kate,Malcolm,19,15,887,1,0,2,24,11,0,0,0,0,0,,,,,
soc_ac078fa6ec3f,Katelyn,Mason,17,9,851,1,0,2,3,1,0,0,0,0,0,,,,,
soc_27d546bb3ac3,Sofia,Puleo,15,2,379,1,0,2,13,9,0,0,0,0,0,,,,,
soc_fb6135278c1c,Jasmine,Eccles,12,6,588,0,1,1,4,2,0,0,0,0,0,,,,,
soc_a92bb7bffab2,Leah,Fowler,5,1,152,0,1,1,2,0,0,0,0,0,0,,,,,
soc_ac1802f7a3e6,Zoe,Roidl,7,0,192,0,1,1,0,0,0,0,0,0,0,,,,,
soc_5b4fcab741a9,Erin,Speak,4,0,79,0,1,1,5,3,0,0,0,0,0,,,,,
soc_c1413f39dd04,Tia,Argento,18,17,1415,0,0,0,8,4,0,0,0,0,0,,,,,
soc_86cb7de3a865,Ella,Bansch,10,1,279,0,0,0,2,1,0,0,0,0,0,,,,,
soc_b14c7f200208,Emily,Brownell,12,1,227,0,0,0,1,1,0,0,0,0,0,,,,,
soc_5281be6390a3,Addison,Frazier,5,0,82,0,0,0,0,0,0,0,0,0,0,,,,,
soc_3ce6c9c8ba5d,Paige,Gianettino,2,0,29,0,0,0,1,0,0,0,0,0,0,,,,,
soc_c3343ecc9bfd,Faith,Leake,18,14,1305,0,0,0,0,0,0,0,0,0,0,13,0.9,69,0.841,
soc_d3ba321ca6e0,Emily,Monforto,3,0,58,0,0,0,0,0,0,0,0,0,0,,,,,
soc_c957b827dd91,Brooke,Moskey,8,5,405,0,0,0,0,0,0,0,0,0,0,1,0.22,7,0.875,
soc_2e97528c2e2f,Neve,O'Leary,6,2,265,0,0,0,2,0,0,0,0,0,0,,,,,
soc_b0c7c956224e,Nora,Pedersen,5,0,53,0,0,0,0,0,0,0,0,0,0,,,,,
soc_5ec8bf3f6a07,Paige,Robinson,2,0,32,0,0,0,0,0,0,0,0,0,0,,,,,
soc_7df079800b0f,Tatum,Roidl,15,2,364,0,0,0,9,4,0,0,0,0,0,,,,,
soc_2b5f059180b3,Ella,Sedor,18,17,1423,0,0,0,0,0,0,0,0,0,0,,,,,
soc_23b351c04d08,Greta,Blau,15,15,974,9,0,18,65,32,3,0,0,0,0,,,,,
soc_655294eee7de,Kamy,Luecke,20,19,1001,6,4,16,52,21,3,0,0,1,0,,,,,
soc_663c719aa84f,Rylee,Brotz,21,21,1352,3,5,11,42,26,2,0,0,0,0,,,,,
soc_3be29f7c08df,Lacey,Fabry,19,1,484,3,2,8,30,14,1,0,0,0,0,,,,,
soc_df94f7c25bf5,Megan,Hines,20,19,1524,1,3,5,17,11,0,0,0,0,0,,,,,
soc_daafaee31c8a,Stephanie,Kalscheuer,19,19,1505,2,1,5,23,9,2,0,0,2,0,,,,,
soc_96244a1ee17b,Kayla,Kerkman,20,8,503,2,1,5,14,8,2,0,0,0,0,,,,,
soc_a8b1d7611d70,Savanna,Buttram,20,7,661,2,0,4,6,5,1,0,0,0,0,,,,,
soc_d23d24ec60d2,Madi,Johnson,21,21,1710,2,0,4,19,11,0,0,0,3,0,,,,,
soc_6fd4b56a4e48,Audrey,Kessenich,11,0,135,2,0,4,6,4,0,0,0,0,0,,,,,
soc_85c4b31d57f9,Addie,Ninneman,8,0,107,2,0,4,4,2,0,0,0,0,0,,,,,
soc_e4a9f020eac3,Reaghan,Spencer,20,18,1035,0,4,4,4,1,0,0,0,0,0,,,,,
soc_5e5b69daa501,Jessi,Crivello,10,1,163,1,1,3,6,4,0,0,0,0,0,,,,,
soc_f8a5bc636782,Aubrie,Cruz,21,0,565,1,0,2,5,3,1,0,0,0,0,,,,,
soc_7203c62e3d07,Hanah,DeLuca,14,1,286,1,0,2,10,3,0,0,0,0,0,,,,,
soc_e8bb76562e97,Lina,Diaz,16,1,308,1,0,2,12,4,0,0,0,0,0,,,,,
soc_66c331ea0c3c,Riley,Haertle,16,15,1276,0,2,2,17,6,0,0,1,0,0,,,,,
soc_82d42838effa,Anika,Preusker,20,2,426,1,0,2,10,5,0,0,0,0,0,,,,,
soc_69a4718f38ad,Julia,Addeo,12,1,196,0,0,0,3,0,0,0,0,0,0,,,,,
soc_450d8e2610f5,Ella,Arra,6,0,81,0,0,0,1,0,0,0,0,0,0,,,,,
soc_fd453bc8784b,Madeline,Brown,16,13,990,0,0,0,0,0,0,0,0,0,0,8,0.73,43,0.843,
soc_806e566e4e73,Ivy,DuFore,6,0,82,0,0,0,0,0,0,0,0,0,0,,,,,
soc_8497ee149b3c,Ellah,Ketelsen,20,18,1364,0,0,0,3,2,0,0,0,0,0,,,,,
soc_d36a2838ab0b,Clara,Lange,6,0,86,0,0,0,1,1,0,0,0,0,0,,,,,
soc_6ab481305a39,Veronica,Martinez,9,0,217,0,0,0,1,0,0,0,0,0,0,,,,,
soc_2f2b3def2e30,Lauren,Mesa,16,0,258,0,0,0,6,4,0,0,0,0,0,,,,,
soc_5fe5bacc386b,Ava,Sadenwasser,20,14,1221,0,0,0,0,0,0,0,0,0,0,,,,,
soc_bd5923e4214c,Maude,Spagnolo-Salisbury,16,7,546,0,0,0,6,4,0,0,0,0,0,,,,,
soc_9c6d3e8ef1ac,Tateum,Speich,21,2,834,0,0,0,3,1,0,0,0,1,0,,,,,
soc_9ca38792618d,Emma,Swenson,15,8,900,0,0,0,0,0,0,0,0,0,0,11,1.1,41,0.788,
soc_43dafe22fddf,Skylar,Mumford,18,18,,8,0,16,40,18,6,0,0,0,0,,,,,
soc_f9946e49cdcc,Grace,Tessier,18,5,,3,0,6,16,10,0,0,0,1,0,,,,,
soc_6485b0d36799,Jenna,Hoffmann,18,18,,0,5,5,43,21,0,0,0,1,0,,,,,
soc_42a3fd5c7e14,Sara,Bean,18,18,,1,2,4,4,2,0,1,1,0,0,,,,,
soc_bda7e72c8016,Sophia,Hogan,18,6,,1,2,4,11,5,0,0,0,0,0,,,,,
soc_2f5caf85ca3f,Ella,Fasnacht,14,11,,1,1,3,3,1,0,0,0,0,0,,,,,
soc_03ac4ce2a118,Sky,Shinnen,18,17,,1,1,3,8,3,0,0,0,1,0,,,,,
soc_96a6c74955ee,Addy,Feltman,2,0,,1,0,2,2,2,0,0,0,0,0,,,,,
soc_a04aff3809f4,Bridget,Ferrarese,17,5,,1,0,2,8,3,0,0,0,0,0,,,,,
soc_a6b136713785,Ashley,Rosati,17,1,,1,0,2,4,3,0,0,0,0,0,,,,,
soc_cefcae94ff25,Maureen,Arentz,12,0,,0,1,1,2,1,0,0,0,0,0,,,,,
soc_37ed5d56cb1a,Olivia,Herbert,18,18,,0,1,1,7,2,0,0,0,0,0,,,,,
soc_a8aae363d29a,Molly,Kleinert,18,18,,0,1,1,8,3,0,0,0,0,0,,,,,
soc_763feb9652b2,Lexi,Kurzawa,18,0,,0,1,1,10,1,0,0,0,0,0,,,,,
soc_5e93242c1d9f,Meghan,McGonagle,18,17,,0,1,1,14,6,0,0,0,0,0,,,,,
soc_76ee71873876,Kayla,Myer,14,7,,0,1,1,4,2,0,0,0,0,0,,,,,
soc_519bb74c5af6,Caleigh,Bold,13,1,,0,0,0,1,0,0,0,0,1,0,,,,,
soc_7b9c2bfc1d95,Audra,Day,8,2,,0,0,0,0,0,0,0,0,1,0,,,,,
soc_c619354f9424,Alyssa,Golombeck,9,0,,0,0,0,0,0,0,0,0,0,0,,,,,
soc_d58a2440e13e,Ashley,Hudak,9,0,,0,0,0,1,1,0,0,0,0,0,,,,,
soc_118706a7d729,Sydney,Newshel,2,0,,0,0,0,0,0,0,0,0,0,0,,,,,
soc_7535f61f6c61,Sophia,Schierse,1,0,,0,0,0,0,0,0,0,0,0,0,,,,,
soc_12c4003220e0,Sophie,Shadle,18,18,,0,0,0,15,7,0,0,0,0,0,,,,,
soc_62cc0835624d,Riley,Sharpnack,1,0,,0,0,0,0,0,0,0,0,0,0,,,,,
soc_48637482255b,Ella,Smith,16,16,,0,0,0,0,0,0,0,0,0,0,13,0.86,63,0.829,
soc_60dcb854f355,Erin,Winslow,4,2,,0,0,0,0,0,0,0,0,0,0,7,2.21,14,0.667,
soc_dbdad4e6d85c,Lauren,Nevins,21,21,1568,13,3,29,61,33,3,2,3,3,0,,,,,
soc_c8ee0db9e26d,Kelli,Coughlin,17,16,1112,7,5,19,48,30,4,2,2,0,0,,,,,
soc_b6559d5a2d66,Maddie,Cummings,21,20,1356,7,3,17,35,20,2,0,0,0,0,,,,,
soc_a38d65e176c8,Courtney,Conlon,21,21,1469,3,1,7,25,14,2,0,0,0,0,,,,,
soc_a013b5ca89e8,Martyna,Bogaczewicz,13,0,108,2,1,5,2,2,0,0,0,0,0,,,,,
soc_8d611fd322ee,Ellie,Muscarello,21,20,1311,1,3,5,15,8,0,0,0,0,0,,,,,
soc_120936784323,Sophia,Burkhead,16,0,238,2,0,4,6,2,0,0,0,0,0,,,,,
soc_bf253c73f5b2,Nora,Simon,20,20,1710,2,0,4,25,14,1,0,0,1,0,,,,,
soc_5a38a57bd117,MaiLei,Garcia,19,2,383,0,3,3,13,6,0,0,0,0,0,,,,,
soc_3c5459ca77e7,Emily,Herlihy,18,4,885,1,1,3,17,9,0,0,0,0,0,,,,,
soc_530b08e0c9a5,Angie,Lopez,20,20,1655,0,3,3,6,4,0,0,1,3,0,,,,,
soc_e7ac94dcb9b0,Aubrey,Pasquale,13,0,187,1,1,3,7,4,0,0,0,0,0,,,,,
soc_750ad1cc8400,Audrey,Bray,16,0,243,0,2,2,7,0,0,0,0,0,0,,,,,
soc_d8c5e4662679,Grace,Bray,21,21,1483,1,0,2,26,16,0,0,0,0,0,,,,,
soc_aaf0bf50128a,Kendal,Freischlag,8,1,116,1,0,2,4,4,0,0,0,0,0,,,,,
soc_993b5690a0c8,Katelyn,Guolla,21,21,1517,1,0,2,21,10,0,0,0,0,0,,,,,
soc_9314c3e4464f,Haley,Jeske,17,0,179,1,0,2,8,5,0,0,0,1,0,,,,,
soc_7733667bca6e,Iberia,Munoz,6,0,63,1,0,2,1,1,0,0,0,0,0,,,,,
soc_93f1340740d2,Anna,Norstrom,13,0,200,1,0,2,2,1,0,0,0,0,0,,,,,
soc_e9f2b7f521b3,Celeste,Chapa,12,0,149,0,1,1,3,2,0,0,0,0,0,,,,,
soc_f385dbeec1c0,Hannah,Wurster,6,0,69,0,1,1,0,0,0,0,0,0,0,,,,,
soc_610a1d3d55b5,Mia,Assenato,12,11,646,0,0,0,4,1,0,0,0,0,0,,,,,
soc_31e59f21ec1f,Annalee,DeFeo,16,0,220,0,0,0,7,5,0,0,0,0,0,,,,,
soc_30883f817b61,Erin,Fitzharris,20,20,1638,0,0,0,0,0,0,0,0,0,0,17,0.94,56,0.767,
soc_82cc4157ae49,Chara,Ganta,8,1,114,0,0,0,1,0,0,0,0,0,0,,,,,
soc_7fb4b72c8b57,Lauren,Jack,7,0,126,0,0,0,1,0,0,0,0,0,0,,,,,
soc_556b8e369a19,Megan,Kleve,5,1,129,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1.0,
soc_ef17012f83b3,Mariel,Lopez,8,0,78,0,0,0,3,3,0,0,0,0,0,,,,,
soc_dc0517bc744e,Abigail,Miller,4,0,57,0,0,0,0,0,0,0,0,0,0,,,,,
soc_a64ad3072ec1,Sequoia,Ross,6,0,143,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1.0,
soc_50f1899900e1,Nicole,Schreiner,5,0,38,0,0,0,2,2,0,0,0,0,0,,,,,
soc_a793f03f29d7,Camila,Torres,5,0,61,0,0,0,2,0,0,0,0,0,0,,,,,
soc_868fac734b5a,Izzy,Vargas,17,1,376,0,0,0,8,5,0,0,0,0,0,,,,,
