athlete_id,first_name,last_name,gp,goals,assists,points,plus_minus,minutes,goalie_ga,goalie_gaa,goalie_saves,goalie_sv_pct
ih_c1dc27b9181f,Luke,Shipley,33,2,10,12,-17,10,,,,
ih_dbf3d80b47cf,Nate,Misskey,35,4,6,10,-6,7,,,,
ih_6d30a5e92f43,Dalyn,Wakely,35,7,12,19,-16,12,,,,
ih_f0dfeb33a908,David,Adaszynski,28,2,4,6,-5,1,,,,
ih_23f8cef410c6,Mirko,Buttazzoni,24,4,9,13,-10,6,,,,
ih_611ce7a8440e,Sean,Kilcullen,34,3,6,9,-6,2,,,,
ih_01705bb9fef5,Dillan,Bentley,33,14,11,25,-7,3,,,,
ih_828a79140315,Libor,Nemec,35,3,12,15,-15,11,,,,
ih_a4c604ab0812,Connor,Eddy,32,3,5,8,3,13,,,,
ih_1e710906bd7a,Josh,Mori,35,4,8,12,-2,11,,,,
ih_ef073d35a884,Lee,Parks,35,6,8,14,-9,7,,,,
ih_83311fe7a1ff,Ryan,Kroll,10,0,0,0,-2,4,,,,
ih_0a03cba12025,Jacob,MacDonald,8,0,0,0,-1,3,,,,
ih_f0b1cf2b2652,Dominic,Payne,35,2,6,8,-3,4,,,,
ih_fb812a5508c4,Jak,Vaarwerk,35,7,13,20,1,4,,,,
ih_bd2fdccaf46f,August,Classon,10,0,0,0,-2,0,,,,
ih_e733d023065c,Diego,Buttazzoni,29,6,6,12,-20,10,,,,
ih_b313bd70e86f,Caeden,Herrington,33,1,7,8,-13,7,,,,
ih_0f4541ca116c,Philip,Törnqvist,31,2,8,10,-3,8,,,,
ih_2786a53dcef9,Charlie,Kinsman,15,0,0,0,-4,0,,,,
ih_10c1d682a18c,Jax,Wismer,29,2,5,7,-10,2,,,,
ih_14760467475f,Max,Strand,29,6,1,7,-18,3,,,,
ih_be0b5177b916,Jonah,Aegerter,31,7,7,14,,4,,,,
ih_e89a95955065,Blake,Steenerson,31,4,5,9,-2,3,,,,
ih_e2a8ebe5e2c1,Dawson,Good,33,2,4,6,-6,12,,,,
ih_df9454e87144,Tyler,Dysart,11,0,1,1,-3,3,,,,
ih_98a4aba6f563,Colin,Kessler,33,10,16,26,-3,6,,,,
ih_44db4bcdf239,Massimo,Lombardi,27,5,4,9,-7,4,,,,
ih_95ac30c472d3,Cédrick,Guindon,31,3,10,13,-17,5,,,,
ih_df829e3b72fc,Xavier,Henry,6,0,1,1,-2,0,,,,
ih_10fc17362850,Daniel,Sambuco,29,5,1,6,-12,9,,,,
ih_b0f9f2e26deb,Ethan,Burroughs,27,6,3,9,-7,4,,,,
ih_bdf3f47ce399,Dylan,Gratton,22,0,1,1,-6,1,,,,
ih_7c55c753c4b2,Jack,Malinski,22,1,9,10,,4,,,,
ih_c0f8d0f5aee8,Thomas,Sinclair,33,4,6,10,-10,5,,,,
ih_11c0ea157da7,Duncan,Ramsay,31,0,2,2,-7,4,,,,
ih_2beb31a6f3be,Matteo,Michels,33,3,7,10,,5,,,,
ih_d8e6528eaf80,Jens,Richards,33,5,8,13,-1,9,,,,
ih_e51f8fcde6fc,Aiden,Wright,31,0,1,1,0,0,89,3.1,735,0.892
ih_ad430bc59ce5,David,Sacco,9,0,1,1,-1,0,,,,
ih_0449794b6d25,Sebastian,Törnqvist,33,5,8,13,-8,7,,,,
ih_ad1a524caedf,Axel,Mangbo,10,0,0,0,0,0,17,3.37,126,0.881
ih_52e4c1b4f5bc,Tomas,Machu,35,0,4,4,5,10,,,,
ih_035506d15aa4,Alexander,Bales,26,0,3,3,14,7,,,,
ih_9b8e3ddcc749,Hudson,Malinoski,36,11,4,15,1,2,,,,
ih_496459050a20,Donovan,McCoy,33,3,6,9,15,11,,,,
ih_1eea26bb89e8,Graham,Gamache,36,3,15,18,16,1,,,,
ih_a1de1219acb4,Geno,McEnery,1,0,0,0,0,0,,,,
ih_3d5878d874ce,Aleksi,Kivioja,36,8,10,18,13,13,,,,
ih_2d7b06dedeeb,Will,Elger,36,9,13,22,2,0,,,,
ih_7a7315ee6704,Jonathan,Fauchon,36,8,10,18,2,9,,,,
ih_3f4266a138bf,Beau,Jelsma,35,3,9,12,11,10,,,,
ih_518de03bcd69,Brendan,Ross,3,0,0,0,0,0,,,,
ih_54eb747f3fa1,Tanner,Adams,36,11,13,24,6,3,,,,
ih_3c8e53d14177,Kale,McCallum,31,5,9,14,2,6,,,,
ih_fb263ac900ef,John,Mustard,36,17,12,29,7,8,,,,
ih_dabc95607275,Clint,Levens,35,5,9,14,13,14,,,,
ih_b1efcf1ecc10,Andrew,Centrella,34,3,11,14,13,9,,,,
ih_703a9b767719,Quinn,Mantei,36,2,9,11,21,11,,,,
ih_1145caa20d03,Julius,Sumpf,36,4,17,21,7,4,,,,
ih_2d954d1d493c,Alex,Rybakov,30,3,4,7,10,6,,,,
ih_17df79dacdcd,Martin,Masa,25,0,4,4,4,0,,,,
ih_07de426a7fff,Roger,McQueen,36,11,16,27,5,15,,,,
ih_88c4cccd1fe4,Logan,Sawyer,35,14,14,28,3,9,,,,
ih_8dad2eeafb33,Brendan,Dunphy,37,2,4,6,6,10,,,,
ih_5ca7e47afa0b,Kevin,Fitzgerald,16,1,2,3,-4,1,,,,
ih_dbf38d53092e,Viking,Gustafsson Nyberg,38,0,11,11,18,13,,,,
ih_e4b7fbf87e0d,Huston,Karpman,12,0,0,0,-2,0,,,,
ih_c05e03b855dc,Joey,Muldowney,34,17,12,29,11,5,,,,
ih_1fa240768938,Ryan,Tattle,38,13,19,32,7,17,,,,
ih_213183e011a3,Tristan,Fraser,38,6,8,14,6,7,,,,
ih_d19c73f5b07a,Kai,Janviriya,38,0,12,12,16,4,,,,
